threshold,precision,recall,f1,accuracy
0.01,0.6901408450704225,0.9245283018867925,0.7903225806451613,0.8951612903225806
0.02,0.7205882352941176,0.9245283018867925,0.8099173553719008,0.907258064516129
0.03,0.7538461538461538,0.9245283018867925,0.8305084745762712,0.9193548387096774
0.04,0.7741935483870968,0.9056603773584906,0.8347826086956521,0.9233870967741935
0.05,0.7868852459016393,0.9056603773584906,0.8421052631578947,0.9274193548387096
0.060000000000000005,0.7833333333333333,0.8867924528301887,0.831858407079646,0.9233870967741935
0.06999999999999999,0.7833333333333333,0.8867924528301887,0.831858407079646,0.9233870967741935
0.08,0.7833333333333333,0.8867924528301887,0.831858407079646,0.9233870967741935
0.09,0.7833333333333333,0.8867924528301887,0.831858407079646,0.9233870967741935
0.09999999999999999,0.7796610169491526,0.8679245283018868,0.8214285714285714,0.9193548387096774
0.11,0.7796610169491526,0.8679245283018868,0.8214285714285714,0.9193548387096774
0.12,0.7796610169491526,0.8679245283018868,0.8214285714285714,0.9193548387096774
0.13,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.9233870967741935
0.14,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.9233870967741935
0.15000000000000002,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.9233870967741935
0.16,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.9233870967741935
0.17,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.9233870967741935
0.18000000000000002,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.9233870967741935
0.19,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.9233870967741935
0.2,0.7931034482758621,0.8679245283018868,0.8288288288288288,0.9233870967741935
0.21000000000000002,0.8070175438596491,0.8679245283018868,0.8363636363636363,0.9274193548387096
0.22,0.8070175438596491,0.8679245283018868,0.8363636363636363,0.9274193548387096
0.23,0.8070175438596491,0.8679245283018868,0.8363636363636363,0.9274193548387096
0.24000000000000002,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.25,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.26,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.27,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.28,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.29000000000000004,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.3,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.31,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.32,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.33,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.34,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.35000000000000003,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.36000000000000004,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.37,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.38,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.39,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9314516129032258
0.4,0.8181818181818182,0.8490566037735849,0.8333333333333334,0.9274193548387096
0.41000000000000003,0.8148148148148148,0.8301886792452831,0.822429906542056,0.9233870967741935
0.42000000000000004,0.8148148148148148,0.8301886792452831,0.822429906542056,0.9233870967741935
0.43,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.44,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.45,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.46,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.47000000000000003,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.48000000000000004,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.49,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.5,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.51,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.52,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
