strategy,accuracy,precision,recall,f1
Validation threshold neural,0.8951612903225806,0.6901408450704225,0.9245283018867925,0.7903225806451613
Safety RUL rule,0.8951612903225806,0.6708860759493671,1.0,0.803030303030303
Hybrid OR rule,0.8790322580645161,0.6385542168674698,1.0,0.7794117647058824
Post-hoc best F1 neural,0.9314516129032258,0.8214285714285714,0.8679245283018868,0.8440366972477065
