epoch,fail_output_auc,fail_output_binary_accuracy,fail_output_loss,fail_output_precision,fail_output_recall,learning_rate,loss,rul_output_loss,rul_output_mae,rul_output_rmse,val_fail_output_auc,val_fail_output_binary_accuracy,val_fail_output_loss,val_fail_output_precision,val_fail_output_recall,val_loss,val_rul_output_loss,val_rul_output_mae,val_rul_output_rmse
10,0.9968842267990112,0.9724144339561462,0.10768372565507889,0.8480659127235413,0.9844383001327515,0.0005000000237487257,0.17948980629444122,0.023996707051992416,0.0965006947517395,0.12636461853981018,0.9688918590545654,0.9272530674934387,0.5099309086799622,0.6807992458343506,0.9012902975082397,0.6520857214927673,0.06651867181062698,0.15507812798023224,0.21784919500350952
11,0.9971827268600464,0.9749772548675537,0.10244634002447128,0.8620150685310364,0.9833036065101624,0.0005000000237487257,0.17339017987251282,0.02344834804534912,0.09496454894542694,0.12463319301605225,0.96833336353302,0.9118573665618896,0.4951593279838562,0.6225848197937012,0.9354838728904724,0.6557554006576538,0.07025327533483505,0.1574045717716217,0.22159722447395325
12,0.99741131067276,0.9760956168174744,0.10042768716812134,0.8682514429092407,0.9828172922134399,0.0005000000237487257,0.1647055447101593,0.02164020575582981,0.09131229668855667,0.11961488425731659,0.9673863053321838,0.9309444427490234,0.5075821280479431,0.6923832893371582,0.9090322852134705,0.658568263053894,0.06867439299821854,0.15316197276115417,0.21942928433418274
13,0.9980484247207642,0.9788215756416321,0.08630084991455078,0.8810489773750305,0.9857351183891296,0.0005000000237487257,0.15234604477882385,0.02122832089662552,0.09029294550418854,0.11835752427577972,0.9655876755714417,0.931394636631012,0.5518093109130859,0.7014315128326416,0.885161280632019,0.6928629875183105,0.06896241754293442,0.15428580343723297,0.2205280214548111
14,0.9981833100318909,0.9794040322303772,0.083086296916008,0.8845874071121216,0.9852488040924072,0.0005000000237487257,0.14600908756256104,0.020286474376916885,0.08827017992734909,0.11577984690666199,0.9614226222038269,0.9214009046554565,0.6023526191711426,0.6581037044525146,0.9090322852134705,0.7288703918457031,0.06846883147954941,0.1511053889989853,0.21420200169086456
15,0.998565137386322,0.982013463973999,0.0730864629149437,0.8972471952438354,0.9880045652389526,0.0005000000237487257,0.13406167924404144,0.019202224910259247,0.0861307680606842,0.11252270638942719,0.9602875709533691,0.9118573665618896,0.6288394331932068,0.6256049275398254,0.9174193739891052,0.75694739818573,0.07065746933221817,0.1543436050415039,0.22099772095680237
16,0.9987947344779968,0.9841336607933044,0.06379729509353638,0.9083333611488342,0.9894634485244751,0.00042500003473833203,0.12407641857862473,0.01845412328839302,0.08454857021570206,0.11022958159446716,0.9620223045349121,0.9217610359191895,0.6280803680419922,0.6611452698707581,0.9012902975082397,0.7498911619186401,0.06900989264249802,0.15470381081104279,0.21772469580173492
17,0.9988447427749634,0.9843666553497314,0.06487715989351273,0.9104210138320923,0.9884908199310303,0.00042500003473833203,0.12208864837884903,0.017771171405911446,0.08266281336545944,0.10810112953186035,0.9610865116119385,0.9230214953422546,0.6836884021759033,0.6687712669372559,0.8883870840072632,0.7760815024375916,0.06506875157356262,0.14339002966880798,0.20663124322891235
18,0.9989436268806458,0.9845297336578369,0.06421307474374771,0.911004900932312,0.9889771342277527,0.00042500003473833203,0.11993806809186935,0.017377212643623352,0.08166419714689255,0.10676485300064087,0.9554526805877686,0.9348158836364746,0.727908194065094,0.7234848737716675,0.8625806570053101,0.7940249443054199,0.06127377226948738,0.1448950320482254,0.2002691775560379
19,0.9989012479782104,0.9860208034515381,0.06042720749974251,0.9187847971916199,0.9902739524841309,0.00042500003473833203,0.11457934230566025,0.016741028055548668,0.08023057878017426,0.10475340485572815,0.9567738175392151,0.9340055584907532,0.7432798147201538,0.7209302186965942,0.8600000143051147,0.8153369426727295,0.06355313211679459,0.14148126542568207,0.2014741450548172
20,0.999202311038971,0.9876983165740967,0.05262626335024834,0.9271543025970459,0.9923812747001648,0.00042500003473833203,0.10719190537929535,0.016404788941144943,0.0792485848069191,0.10350455343723297,0.9532479047775269,0.9301341772079468,0.7437343597412109,0.6927290558815002,0.8974193334579468,0.8274660110473633,0.06660964339971542,0.14248338341712952,0.20920881628990173
21,0.999103844165802,0.9871624708175659,0.05294531211256981,0.9243202209472656,0.9918949604034424,0.00042500003473833203,0.1069008857011795,0.016263194382190704,0.07865862548351288,0.1030021384358406,0.9515381455421448,0.9256324768066406,0.792650580406189,0.6826437711715698,0.8729032278060913,0.8596652150154114,0.06559865176677704,0.15162858366966248,0.2134362906217575
22,0.999160647392273,0.9873488545417786,0.05387170612812042,0.9263412952423096,0.9907602667808533,0.00042500003473833203,0.10716944932937622,0.016199665144085884,0.07858667522668839,0.10286582261323929,0.9541008472442627,0.9239218235015869,0.7639200687408447,0.6740740537643433,0.8806451559066772,0.8422968983650208,0.06659966707229614,0.15182772278785706,0.21177160739898682
23,0.9991025328636169,0.9880943894386292,0.05233067646622658,0.9303315877914429,0.99140864610672,0.00042500003473833203,0.1037512719631195,0.015628499910235405,0.0771651640534401,0.10087364912033081,0.9522780179977417,0.9271630644798279,0.7937357425689697,0.6928682923316956,0.8587096929550171,0.871210515499115,0.06814207136631012,0.15196987986564636,0.21323692798614502
24,0.9991397261619568,0.9893525242805481,0.04631407931447029,0.9357644319534302,0.9941643476486206,0.00042500003473833203,0.0972006767988205,0.015151115134358406,0.07624185085296631,0.09946826100349426,0.9537262916564941,0.9322049021720886,0.7934918403625488,0.7096264958381653,0.870322585105896,0.8485117554664612,0.06242460012435913,0.14603321254253387,0.20414556562900543
25,0.9993044137954712,0.9898883700370789,0.04336171597242355,0.9395983219146729,0.9935159683227539,0.00042500003473833203,0.09341209381818771,0.014770050533115864,0.07518743723630905,0.09835931658744812,0.9443293809890747,0.9315747022628784,0.9462403655052185,0.7116827368736267,0.8567742109298706,0.9829586744308472,0.06760196387767792,0.14351394772529602,0.20721477270126343
26,0.9992008805274963,0.9891428351402283,0.04801793396472931,0.9370114803314209,0.9910844564437866,0.00042500003473833203,0.09573262184858322,0.014478307217359543,0.07439523190259933,0.09735757857561111,0.9548970460891724,0.9403979182243347,0.7789660692214966,0.7593457698822021,0.8387096524238586,0.8233769536018372,0.05901803821325302,0.14238765835762024,0.1984397917985916
